lad_code,lad_name,region_name,fsm_pupils,fsm_good_pass_pct,non_fsm_good_pass_pct,all_pupils_good_pass_pct,gap_pp
E06000004,Stockton-on-Tees,North East,636,28,54.7,47.5,26.7
E06000021,Stoke-on-Trent,West Midlands,935,19.5,39.2,33.1,19.7
E07000221,Stratford-on-Avon,West Midlands,244,23.8,66.5,60.7,42.7
E07000082,Stroud,South West,156,24.4,62.4,57.8,38.0
E08000024,Sunderland,North East,993,24.6,49.5,41.6,24.9
E07000214,Surrey Heath,South East,83,15.7,53.9,50.4,38.2
E09000029,Sutton,Outer London,531,36,72,65.9,36.0
E07000113,Swale,South East,416,14.7,46.7,38.6,32.0
E06000030,Swindon,South West,516,24.2,49.5,44.5,25.3
E08000008,Tameside,North West,826,26,47.1,41.1,21.1
E07000199,Tamworth,West Midlands,169,14.2,33.1,28.4,18.9
E07000215,Tandridge,South East,118,14.4,47.6,42.4,33.2
E07000045,Teignbridge,South West,226,15,39.2,33.9,24.2
E06000020,Telford and Wrekin,West Midlands,602,19.1,45.4,38.8,26.3
E07000076,Tendring,East of England,394,15.5,40.7,34.1,25.2
E07000093,Test Valley,South East,224,19.6,45.1,40.3,25.5
E07000083,Tewkesbury,South West,199,31.7,52.6,49.1,20.9
E07000114,Thanet,South East,453,22.7,42.5,36.7,19.8
E07000102,Three Rivers,East of England,123,32.5,67.5,64.4,35.0
E06000034,Thurrock,East of England,481,29.7,49.6,45.4,19.9
E07000115,Tonbridge and Malling,South East,286,24.5,63.7,57.4,39.2
E06000027,Torbay,South West,354,22,54.9,47.9,32.9
E07000046,Torridge,South West,124,19.4,42,36.9,22.6
E09000030,Tower Hamlets,Inner London,1452,47.9,54.7,51.6,6.8
E08000009,Trafford,North West,540,32.4,72.9,66.4,40.5
E07000116,Tunbridge Wells,South East,201,31.8,68.3,64,36.5
E07000077,Uttlesford,East of England,94,22.3,53.5,49.6,31.2
E07000180,Vale of White Horse,South East,233,17.6,44.5,40.1,26.9
E08000036,Wakefield,Yorkshire and The Humber,1009,25.7,54.6,47.3,28.9
E08000030,Walsall,West Midlands,1157,22.4,46.5,38.6,24.1
E09000031,Waltham Forest,Outer London,875,35.5,53.2,48.3,17.7
E09000032,Wandsworth,Inner London,643,42,67.2,59.3,25.2
E06000007,Warrington,North West,514,19.5,54.5,47.8,35.0
E07000222,Warwick,West Midlands,255,18.4,56.8,49.4,38.4
E07000103,Watford,East of England,116,25.9,63.2,58.1,37.3
E07000216,Waverley,South East,158,25.9,65,60.7,39.1
E07000065,Wealden,South East,184,20.7,49.2,45.2,28.5
E07000241,Welwyn Hatfield,East of England,221,26.2,51.7,46.5,25.5
E06000037,West Berkshire,South East,295,21,53.7,48.9,32.7
E07000047,West Devon,South West,79,16.5,45.1,40.3,28.6
E07000127,West Lancashire,North West,245,22.4,48.4,42.8,26.0
E07000142,West Lindsey,East Midlands,220,20,61.3,52.3,41.3
E06000062,West Northamptonshire,East Midlands,840,23.5,49.3,44.9,25.8
E07000181,West Oxfordshire,South East,159,21.4,52.8,49,31.4
E07000191,West Somerset,South West,41,24.4,37.2,34.4,12.8
E07000245,West Suffolk,East of England,340,16.8,43.1,38.1,26.3
E09000033,Westminster,Inner London,728,51.4,68.1,61.3,16.7
E06000064,Westmorland and Furness,North West,322,20.8,46.8,43.4,26.0
E08000010,Wigan,North West,940,19.1,46.9,40.2,27.8
E06000054,Wiltshire,South West,874,19.7,50,45.1,30.3
E07000094,Winchester,South East,146,26,63.3,59.3,37.3
E06000040,Windsor and Maidenhead,South East,250,22.8,56.2,51.6,33.4
E08000015,Wirral,North West,1062,18.2,51.5,42,33.3
E07000217,Woking,South East,146,22.6,60.4,55.4,37.8
E06000041,Wokingham,South East,203,29.1,64,60.6,34.9
E08000031,Wolverhampton,West Midlands,1525,26,49,39.7,23.0
E07000237,Worcester,West Midlands,230,24.8,52.4,46.9,27.6
E07000229,Worthing,South East,192,31.3,52.6,49.5,21.3
E07000238,Wychavon,West Midlands,191,22,43.9,39.4,21.9
E07000128,Wyre,North West,293,16,44.6,38.1,28.6
E07000239,Wyre Forest,West Midlands,242,13.2,39.7,32.9,26.5
E06000014,York,Yorkshire and The Humber,299,21.4,58.4,52.8,37.0
