school_urn,school_laestab,school_name,la_code,la_name,disadvantaged_pupils,disadvantaged_good_pass_pct,non_disadvantaged_good_pass_pct,all_pupils_good_pass_pct,gap_pp
118144,8117016,Kings Mill School,E06000011,East Riding of Yorkshire,7,,,,
136590,3305414,Kings Norton Girls' School,E08000025,Birmingham,46,45.7,67.3,,21.6
139658,3924000,Kings Priory School,E08000022,North Tyneside,17,70.6,74.8,75.2,4.2
116468,8504310,Kings' School,E10000014,Hampshire,54,24.1,72.4,64.9,48.3
136367,8784110,Kingsbridge Academy,E10000008,Devon,25,12,60.6,55.2,48.6
145159,9266017,Kingsbrook School,E10000020,Norfolk,z,,,,
137650,8655406,Kingsbury Green Academy,E06000054,Wiltshire,40,10,36.1,29.7,26.1
137685,3045402,Kingsbury High School,E09000005,Brent,101,34.7,48.7,44.6,14.0
145019,9374012,Kingsbury School - A Specialist Science and Mathematics Academy,E10000031,Warwickshire,27,18.5,29.7,27.3,11.2
136309,2104265,Kingsdale Foundation School,E09000028,Southwark,63,44.4,70.5,67.1,26.1
145139,8664003,Kingsdown School,E06000030,Swindon,34,11.8,44.2,38.4,32.4
132058,3164037,Kingsford Community School,E09000025,Newham,155,44.5,47.3,46.8,2.8
146774,8506095,Kingsgate School,E10000014,Hampshire,z,,,,
139276,3134001,Kingsley Academy,E09000018,Hounslow,53,41.5,47.8,44.9,6.3
133317,3107005,Kingsley High School,E09000015,Harrow,6,,,,
113604,8786030,Kingsley School Devon,E10000008,Devon,z,,,,
136639,9334355,Kingsmead Academy,E06000066,Somerset,28,10.7,44.7,40.5,34.0
136327,3084015,Kingsmead School,E09000010,Enfield,106,30.2,58.9,47.5,28.7
135345,8317029,Kingsmead School,E06000015,Derby,25,0,0,0,0.0
142313,8604070,Kingsmead School,E10000028,Staffordshire,37,18.9,43.8,39.9,24.9
108410,3904041,Kingsmeadow Community School,E08000037,Gateshead,69,24.6,44.2,37.2,19.6
138932,9414071,Kingsthorpe College,E06000062,West Northamptonshire,55,12.7,35.2,30.8,22.5
102619,3146067,Kingston Grammar School,E09000021,Kingston upon Thames,z,,,,
137073,8844021,Kingstone High School,E06000019,"Herefordshire, County of",34,20.6,49,41.3,28.4
148790,3545402,Kingsway Park High School,E08000005,Rochdale,138,13.8,23,18.8,9.2
109386,8017002,Kingsweston School,E06000023,"Bristol, City of",6,0,0,0,0.0
137773,3325402,Kingswinford Academy,E08000027,Dudley,48,22.9,48.1,40.9,25.2
144897,8817030,Kingswode Hoe School,E10000012,Essex,12,,,,
139118,8104009,Kingswood Academy,E06000010,"Kingston upon Hull, City of",73,41.1,65.4,57.2,24.3
125329,9366026,Kingswood House School,E10000030,Surrey,z,,,,
109346,8006000,Kingswood School,E06000022,Bath and North East Somerset,z,,,,
139957,9404013,Kingswood Secondary Academy,E06000061,North Northamptonshire,74,21.6,41.7,35.4,20.1
141342,8604009,Kinver High School and Sixth Form,E10000028,Staffordshire,22,27.3,54.9,50,27.6
148935,8086009,Kiora Hall,E06000004,Stockton-on-Tees,z,,,,
135410,9426056,Kirby Moor School,E06000063,Cumberland,z,,,,
140979,3704008,Kirk Balk Academy,E08000016,Barnsley,77,31.2,64.8,55.5,33.6
